time_s,node_cpu_percent
2.656,103.8
2.669,0.0
2.675,0.0
2.687,87.1
2.702,0.0
2.708,0.0
2.718,103.5
2.726,0.0
2.739,0.0
2.746,0.0
2.758,0.0
2.765,0.0
2.776,94.1
2.787,0.0
2.801,0.0
2.805,0.0
2.816,0.0
2.828,85.6
2.836,0.0
2.848,0.0
2.856,0.0
2.866,0.0
2.876,0.0
2.888,0.0
2.898,105.0
2.908,0.0
2.919,0.0
2.926,0.0
2.937,91.4
2.946,0.0
2.956,0.0
2.965,0.0
2.977,0.0
2.988,91.9
2.996,0.0
3.007,0.0
3.015,0.0
3.026,0.0
3.036,0.0
3.044,0.0
3.055,90.8
3.069,0.0
3.078,0.0
3.085,0.0
3.096,96.4
3.106,0.0
3.115,108.1
3.126,0.0
3.137,0.0
3.145,0.0
3.156,0.0
3.167,0.0
3.175,0.0
3.188,0.0
3.197,105.9
3.205,117.6
3.217,0.0
3.226,0.0
3.238,0.0
3.246,0.0
3.257,0.0
3.267,96.8
3.275,0.0
3.287,0.0
3.299,0.0
3.307,0.0
3.315,0.0
3.327,85.7
3.335,0.0
3.349,0.0
3.357,111.0
3.366,0.0
3.376,0.0
3.386,0.0
3.396,99.1
3.406,0.0
3.418,0.0
3.425,0.0
3.44,0.0
3.446,0.0
3.456,94.1
3.468,0.0
3.477,0.0
3.486,0.0
3.498,0.0
3.506,0.0
3.515,105.4
3.525,0.0
3.537,0.0
3.552,66.4
3.556,0.0
3.568,0.0
3.577,0.0
3.586,111.0
3.598,0.0
3.605,0.0
3.616,0.0
3.626,0.0
3.637,90.9
3.648,0.0
3.655,130.4
3.667,0.0
3.676,110.7
3.687,0.0
3.699,0.0
3.707,0.0
3.715,0.0
3.726,96.3
3.736,0.0
3.746,0.0
3.755,0.0
3.766,0.0
3.776,98.2
3.786,0.0
3.802,0.0
3.806,287.2
3.816,0.0
3.825,0.0
3.839,0.0
3.846,0.0
3.856,94.8
3.872,0.0
3.878,0.0
3.886,127.9
3.904,0.0
3.908,0.0
3.916,0.0
3.931,64.9
3.937,178.1
3.946,0.0
3.956,98.2
3.966,0.0
3.977,0.0
3.988,87.1
3.999,0.0
4.006,0.0
4.017,0.0
4.026,106.1
4.041,0.0
4.049,0.0
4.055,167.9
4.07,0.0
4.076,0.0
4.085,105.1
4.101,0.0
4.105,0.0
4.116,0.0
4.128,82.6
4.136,0.0
4.147,0.0
4.158,0.0
4.17,0.0
4.177,0.0
4.187,94.4
4.201,0.0
4.208,0.0
4.222,0.0
4.225,0.0
4.238,0.0
4.245,134.4
4.256,0.0
4.266,0.0
4.276,0.0
4.285,0.0
4.301,0.0
4.306,178.3
4.315,111.6
4.326,0.0
4.338,0.0
4.347,0.0
4.355,0.0
4.366,91.5
4.375,0.0
4.385,0.0
4.397,0.0
4.406,0.0
4.416,0.0
4.425,106.3
4.443,0.0
4.447,0.0
4.455,0.0
4.467,0.0
4.477,97.5
4.487,0.0
4.505,0.0
4.511,156.3
4.516,0.0
4.525,0.0
4.539,71.8
4.545,0.0
4.557,0.0
4.578,0.0
4.579,0.0
4.585,0.0
4.598,79.2
4.607,0.0
4.616,0.0
4.625,0.0
4.637,0.0
4.653,63.6
4.659,0.0
4.665,0.0
4.675,99.6
4.686,0.0
4.699,0.0
4.705,0.0
4.716,0.0
4.727,0.0
4.735,118.7
4.748,0.0
4.755,0.0
4.767,0.0
4.776,0.0
4.788,0.0
4.803,67.6
4.806,0.0
4.816,99.6
4.836,0.0
4.841,0.0
4.846,0.0
4.857,0.0
4.869,82.5
4.877,0.0
4.892,0.0
4.897,0.0
4.906,0.0
4.916,97.7
4.928,0.0
4.938,0.0
4.946,0.0
4.958,0.0
4.968,0.0
4.981,77.9
4.987,160.5
5.004,0.0
5.007,0.0
5.024,0.0
5.026,0.0
5.04,0.0
5.046,160.2
5.059,0.0
5.069,0.0
5.076,0.0
5.088,0.0
5.101,0.0
5.135,0.0
5.137,465.5
5.147,0.0
5.155,124.6
5.169,0.0
5.179,0.0
5.187,0.0
5.202,0.0
5.208,152.7
5.216,0.0
5.225,0.0
5.236,0.0
5.251,0.0
5.255,0.0
5.268,0.0
5.277,108.0
5.287,0.0
5.301,0.0
5.308,0.0
5.316,0.0
5.326,0.0
5.341,0.0
5.345,228.8
5.359,72.8
5.373,0.0
5.375,0.0
5.39,0.0
5.396,0.0
5.408,0.0
5.415,0.0
5.432,61.8
5.439,0.0
5.448,0.0
5.459,0.0
5.467,120.4
5.475,0.0
5.485,0.0
5.505,0.0
5.51,0.0
5.515,0.0
5.525,111.8
5.535,0.0
5.545,0.0
5.557,0.0
5.57,78.8
5.575,0.0
5.588,0.0
5.598,0.0
5.605,0.0
5.615,101.2
5.629,0.0
5.637,0.0
5.647,0.0
5.655,0.0
5.674,54.2
5.683,0.0
5.688,0.0
5.699,0.0
5.705,0.0
5.719,74.1
5.725,0.0
5.735,0.0
5.748,0.0
5.756,0.0
5.771,0.0
5.78,108.3
5.787,147.7
5.8,0.0
5.812,0.0
5.818,0.0
5.839,0.0
5.844,200.5
5.847,0.0
5.858,0.0
5.872,72.3
5.876,0.0
5.89,0.0
5.904,0.0
5.91,0.0
5.915,192.7
5.927,0.0
5.936,0.0
5.948,0.0
5.956,134.3
5.969,0.0
5.977,0.0
5.987,0.0
6.006,0.0
6.009,0.0
6.015,0.0
6.025,102.0
6.039,0.0
6.058,0.0
6.06,579.4
6.074,0.0
6.08,0.0
6.087,0.0
6.105,0.0
6.108,302.1
6.125,0.0
6.127,0.0
6.14,0.0
6.147,0.0
6.155,0.0
6.175,52.0
6.178,0.0
6.188,0.0
6.2,0.0
6.205,0.0
6.216,0.0
6.227,96.9
6.24,0.0
6.246,0.0
6.256,0.0
6.269,79.8
6.275,0.0
6.288,0.0
6.302,68.2
6.309,0.0
6.315,0.0
6.326,0.0
6.389,15.9
6.39,0.0
6.391,0.0
6.392,0.0
6.393,0.0
6.394,0.0
6.403,0.0
6.41,0.0
6.415,188.1
6.425,0.0
6.436,0.0
6.489,0.0
6.49,0.0
6.491,0.0
6.492,0.0
6.493,0.0
6.497,243.6
6.507,0.0
6.516,0.0
6.525,0.0
6.536,0.0
6.546,0.0
6.56,68.0
6.583,0.0
6.585,0.0
6.592,0.0
6.598,0.0
6.626,0.0
6.627,0.0
6.629,0.0
6.636,252.1
6.645,0.0
6.656,0.0
6.666,0.0
6.679,0.0
6.685,156.5
6.698,0.0
6.708,0.0
6.718,0.0
6.727,0.0
6.737,102.4
6.745,0.0
6.757,0.0
6.771,0.0
6.775,0.0
6.785,0.0
6.796,94.2
6.807,0.0
6.819,0.0
6.828,0.0
6.837,0.0
6.845,0.0
6.855,99.4
6.866,0.0
6.876,0.0
6.886,0.0
6.9,69.8
6.905,0.0
6.918,78.2
6.925,0.0
6.935,0.0
6.948,0.0
6.956,0.0
6.971,66.2
6.976,0.0
6.987,0.0
7.009,0.0
7.013,0.0
7.018,0.0
7.025,138.9
7.035,0.0
7.048,0.0
7.055,0.0
7.067,0.0
7.078,0.0
7.089,0.0
7.1,92.4
7.107,0.0
7.117,0.0
7.127,0.0
7.136,0.0
7.146,102.7
7.156,0.0
7.166,0.0
7.176,0.0
7.188,0.0
7.203,67.3
7.213,0.0
7.215,0.0
7.226,0.0
7.235,0.0
7.247,82.5
7.256,0.0
7.266,0.0
7.276,98.3
7.285,0.0
7.297,0.0
7.307,98.2
7.315,0.0
7.327,0.0
7.337,0.0
7.346,0.0
7.356,94.1
7.369,0.0
7.378,0.0
7.387,0.0
7.398,0.0
7.405,133.2
7.421,0.0
7.426,0.0
7.435,0.0
7.446,95.8
7.455,0.0
7.465,0.0
7.475,0.0
7.485,102.7
7.495,0.0
7.506,0.0
7.515,0.0
7.525,0.0
7.536,0.0
7.545,108.7
7.555,0.0
7.573,0.0
7.578,0.0
7.585,0.0
7.6,66.3
7.61,108.5
7.615,0.0
7.626,0.0
7.635,0.0
7.647,0.0
7.655,114.9
7.669,0.0
7.675,0.0
7.688,0.0
7.701,0.0
7.706,179.8
7.715,0.0
7.726,0.0
7.742,0.0
7.748,249.6
7.757,0.0
7.775,0.0
7.777,0.0
7.787,105.2
7.799,83.1
7.806,0.0
7.815,0.0
7.825,0.0
7.841,0.0
7.851,0.0
7.859,120.9
7.867,0.0
7.875,0.0
7.888,0.0
7.902,71.3
7.905,0.0
7.915,0.0
7.926,0.0
7.943,57.8
7.947,0.0
7.955,0.0
7.969,73.5
7.977,0.0
7.988,0.0
8.003,0.0
8.008,0.0
8.016,0.0
8.028,85.9
8.037,0.0
8.046,117.4
8.055,0.0
8.067,0.0
8.075,0.0
8.089,72.9
8.105,0.0
8.108,0.0
8.118,0.0
8.125,0.0
8.139,0.0
8.149,0.0
8.156,0.0
8.168,86.3
8.177,0.0
8.188,0.0
8.196,0.0
8.207,0.0
8.219,83.5
8.231,0.0
8.235,0.0
8.245,0.0
8.258,0.0
8.265,140.9
8.278,0.0
8.286,0.0
8.301,68.4
8.309,0.0
8.318,0.0
8.325,0.0
8.34,67.6
8.346,0.0
8.356,0.0
8.366,0.0
8.375,102.9
8.388,0.0
8.404,0.0
8.409,0.0
8.417,0.0
8.425,0.0
8.435,97.9
8.445,89.2
8.455,0.0
8.472,0.0
8.481,0.0
8.488,0.0
8.505,59.8
8.51,0.0
8.515,0.0
8.527,0.0
8.537,101.4
8.545,0.0
8.555,0.0
8.566,88.9
8.575,0.0
8.585,0.0
8.606,48.9
8.613,0.0
8.622,0.0
8.633,0.0
8.636,327.7
8.645,0.0
8.655,0.0
8.668,0.0
8.675,148.3
8.688,0.0
8.704,61.7
8.707,0.0
8.717,0.0
8.731,0.0
8.735,0.0
8.748,0.0
8.755,0.0
8.766,91.7
8.776,0.0
8.785,0.0
8.797,0.0
8.808,0.0
8.822,66.9
8.825,364.4
8.835,0.0
8.845,0.0
8.856,0.0
8.866,0.0
8.876,0.0
8.887,90.7
8.895,0.0
8.906,0.0
8.915,0.0
8.925,0.0
8.941,62.6
8.947,0.0
8.956,0.0
8.967,0.0
8.977,0.0
8.987,105.4
8.998,0.0
9.006,0.0
9.016,0.0
9.031,0.0
9.036,178.0
9.048,0.0
9.055,0.0
9.07,0.0
9.075,0.0
9.085,100.6
9.098,0.0
9.106,0.0
9.116,0.0
9.125,0.0
9.138,0.0
9.145,137.5
9.158,0.0
9.167,115.5
9.175,0.0
9.188,0.0
9.203,66.2
9.208,0.0
9.216,0.0
9.231,0.0
9.235,0.0
9.246,96.3
9.256,0.0
9.271,0.0
9.276,0.0
9.286,0.0
9.306,50.7
9.31,0.0
9.315,0.0
9.326,0.0
9.338,0.0
9.345,145.8
9.356,91.0
9.369,0.0
9.376,0.0
9.388,0.0
9.402,0.0
9.41,132.2
9.415,0.0
9.426,0.0
9.438,0.0
9.448,0.0
9.455,0.0
9.471,0.0
9.477,169.3
9.485,0.0
9.5,0.0
9.505,0.0
9.516,0.0
9.525,0.0
9.537,86.9
9.545,0.0
9.555,0.0
9.574,52.4
9.579,0.0
9.586,0.0
9.599,0.0
9.609,0.0
9.616,144.2
9.626,0.0
9.636,0.0
9.646,0.0
9.655,111.8
9.665,96.7
9.675,0.0
9.685,0.0
9.697,0.0
9.707,100.5
9.715,0.0
9.727,0.0
9.736,0.0
9.749,0.0
9.757,123.7
9.77,0.0
9.776,0.0
