time_s,node_cpu_percent
4.162,0.0
4.166,0.0
4.192,0.0
4.195,358.6
4.202,0.0
4.208,0.0
4.218,0.0
4.235,0.0
4.237,0.0
4.246,116.4
4.261,0.0
4.268,0.0
4.285,0.0
4.29,0.0
4.295,191.4
4.306,0.0
4.319,0.0
4.326,0.0
4.336,0.0
4.345,0.0
4.355,0.0
4.365,0.0
4.379,69.9
4.385,0.0
4.395,0.0
4.405,105.1
4.417,0.0
4.427,104.3
4.435,0.0
4.45,0.0
4.457,0.0
4.47,80.1
4.478,0.0
4.489,0.0
4.497,0.0
4.505,0.0
4.518,76.9
4.526,0.0
4.537,0.0
4.545,0.0
4.555,0.0
4.568,77.3
4.579,0.0
4.585,0.0
4.595,0.0
4.605,0.0
4.618,0.0
4.625,0.0
4.635,0.0
4.65,65.1
4.656,190.6
4.666,0.0
4.682,0.0
4.685,0.0
4.695,94.9
4.707,0.0
4.72,0.0
4.725,0.0
4.735,0.0
4.749,0.0
4.755,147.3
4.766,0.0
4.782,0.0
4.787,0.0
4.795,0.0
4.805,100.7
4.818,0.0
4.827,0.0
4.836,121.0
4.847,0.0
4.858,0.0
4.865,0.0
4.877,0.0
4.888,0.0
4.895,149.3
4.914,0.0
4.919,0.0
4.926,0.0
4.936,101.5
4.949,0.0
4.955,0.0
4.966,92.8
4.982,60.2
4.987,0.0
4.996,0.0
5.008,82.7
5.019,0.0
5.028,0.0
5.037,0.0
5.051,70.1
5.055,0.0
5.068,0.0
5.087,0.0
5.092,0.0
5.096,0.0
5.108,84.1
5.121,0.0
5.128,0.0
5.136,0.0
5.149,77.6
5.158,0.0
5.168,0.0
5.181,0.0
5.186,176.4
5.195,117.2
5.205,0.0
5.219,0.0
5.226,0.0
5.236,0.0
5.248,79.1
5.256,0.0
5.265,0.0
5.275,0.0
5.285,0.0
5.295,0.0
5.305,96.7
5.315,0.0
5.325,0.0
5.335,0.0
5.345,0.0
5.355,0.0
5.365,102.3
5.376,0.0
5.389,0.0
5.397,0.0
5.405,0.0
5.415,99.4
5.427,0.0
5.436,0.0
5.445,0.0
5.456,0.0
5.465,107.3
5.478,77.3
5.486,0.0
5.496,0.0
5.506,0.0
5.515,0.0
5.528,0.0
5.535,139.0
5.545,0.0
5.555,0.0
5.566,0.0
5.578,0.0
5.586,0.0
5.596,101.8
5.606,0.0
5.617,0.0
5.629,0.0
5.635,0.0
5.646,91.8
5.656,0.0
5.665,0.0
5.675,0.0
5.685,0.0
5.696,87.1
5.705,0.0
5.716,0.0
5.726,0.0
5.735,102.1
5.745,0.0
5.755,0.0
5.765,0.0
5.775,0.0
5.785,0.0
5.796,90.9
5.806,0.0
5.815,0.0
5.827,0.0
5.838,0.0
5.847,117.2
5.855,0.0
5.868,0.0
5.875,0.0
5.885,103.9
5.895,0.0
5.905,0.0
5.916,0.0
5.925,0.0
5.937,0.0
5.947,100.8
5.955,126.7
5.966,0.0
5.976,0.0
5.985,0.0
5.999,0.0
